date,000300,000688,000922,000015,399989,931071,000069,930781,399975,399967,931066,930598,000819,950125,931637,399986,930633,931946
2025-04-22,-0.02,-0.31,0.39,0.34,-0.04,-1.42,0.43,-2.21,-0.18,-0.56,-0.35,-1.06,-0.39,0.62,1.04,0.68,-0.74,1.0
2025-04-23,0.08,-0.35,-0.44,-0.6,-0.01,1.3,0.14,-0.74,0.14,-0.12,-0.89,2.04,-1.47,-0.63,3.42,-0.5,-1.35,-1.6
2025-04-24,-0.07,-0.92,0.54,0.58,-0.27,-2.04,0.02,-1.8,-0.49,-0.91,-0.99,-1.34,-0.58,-1.52,-0.85,1.17,-0.25,0.63
2025-04-25,0.07,0.13,-0.16,-0.2,0.43,1.15,-0.09,0.88,0.83,0.25,0.19,0.32,0.19,0.79,0.01,-0.47,0.53,-0.51
2025-04-28,-0.14,-0.17,-0.02,0.02,-0.48,-0.4,-0.51,-0.81,-0.75,-0.78,-0.86,-0.09,-0.37,-0.39,0.1,0.96,-1.57,-0.95
2025-04-29,-0.17,0.1,-0.26,-0.38,1.2,0.62,0.44,0.45,-0.26,0.16,-0.58,0.15,-0.2,0.66,0.63,-0.33,-0.7,0.44
2025-04-30,-0.12,0.85,-0.66,-0.87,0.44,2.38,0.92,1.62,0.26,0.46,0.27,0.78,-0.24,-0.52,2.64,-2.13,-0.53,-0.22
2025-05-02,,,,,,,,,,,,,,,3.3,,,
2025-05-06,1.01,1.39,0.25,-0.09,1.52,2.83,0.54,1.4,1.46,1.87,1.57,4.64,2.33,2.65,0.5,-0.13,1.49,0.63
2025-05-07,0.61,0.36,0.68,0.7,-0.51,-0.57,0.05,-0.72,0.65,3.3,4.2,-0.44,0.3,-0.24,-1.21,1.48,-0.38,0.08
2025-05-08,0.56,-0.36,0.05,-0.19,0.46,1.38,0.22,0.98,0.28,2.1,3.13,0.71,-0.74,0.29,0.52,1.09,-0.23,-0.17
2025-05-09,-0.17,-1.96,0.51,0.61,-0.76,-1.59,0.01,-1.99,-1.13,-2.11,-2.87,-0.75,-0.29,-3.03,-0.28,1.38,-0.8,-0.35
2025-05-12,1.16,0.49,0.35,0.36,0.96,1.17,0.31,0.91,2.39,4.71,5.13,1.95,0.83,0.51,3.29,0.15,0.9,-0.2
2025-05-13,0.15,-0.15,0.7,0.78,1.37,-0.38,-0.05,-0.43,-0.69,-2.98,-2.86,-0.92,0.28,-0.47,-3.07,1.53,0.53,0.04
2025-05-14,1.21,0.41,0.56,0.86,0.07,0.6,0.93,0.21,3.51,-0.66,-0.93,1.11,0.85,0.42,2.48,0.81,-0.18,1.24
2025-05-15,-0.91,-1.26,-0.41,-0.39,-0.87,-2.65,-0.11,-1.99,-1.95,-1.78,-1.67,-0.11,-1.22,-1.72,-1.08,-0.11,-0.51,0.05
2025-05-16,-0.46,-0.57,-0.56,-0.64,-0.6,0.34,0.04,0.12,-1.07,-0.12,0.03,-0.29,-0.18,-0.38,-0.79,-0.94,0.37,-0.64
2025-05-19,-0.31,0.0,0.27,0.36,-0.3,-0.47,-0.54,0.81,-0.03,0.99,1.26,-1.06,-0.54,0.94,-0.37,-0.33,0.32,0.53
2025-05-20,0.54,0.24,0.29,0.16,1.12,0.62,0.98,1.29,0.07,-0.28,-0.72,0.61,0.4,0.1,1.51,0.2,0.69,1.35
2025-05-21,0.47,-0.22,0.76,0.93,0.23,-0.65,0.34,-0.56,-0.3,0.09,0.46,-0.43,2.18,-0.64,0.91,0.71,0.07,-0.36
2025-05-22,-0.06,-0.48,-0.18,0.11,-0.94,-0.07,-0.12,-0.84,-0.56,-0.6,-0.32,-1.78,-1.12,-0.73,-1.9,1.0,-0.98,-0.78
2025-05-23,-0.81,-1.02,-0.98,-1.15,0.55,-1.57,-0.15,-1.78,-1.4,-1.08,-1.06,-0.59,0.08,-1.25,0.16,-0.97,-1.25,-1.21
2025-05-26,-0.57,0.17,-0.67,-0.54,-0.63,0.5,-1.03,1.63,-0.06,1.02,0.74,0.72,0.2,0.93,-1.63,-0.75,1.16,0.39
2025-05-27,-0.54,-0.95,-0.26,-0.37,0.33,-1.65,-0.22,-0.15,-0.16,-0.3,-0.52,-1.09,-1.96,-0.27,1.08,0.54,0.29,0.16
2025-05-28,-0.08,-0.23,0.32,0.28,-0.6,0.1,0.22,-0.73,-0.5,-0.73,-0.42,-0.32,0.01,-1.15,-0.56,-0.13,0.12,-0.8
2025-05-29,0.59,1.61,0.18,0.09,2.08,2.19,0.56,1.92,1.15,1.78,1.52,1.48,0.35,2.43,2.27,-0.22,0.25,0.37
2025-05-30,-0.48,-0.94,0.09,0.16,-0.46,-1.74,-0.4,-1.17,-0.53,0.07,0.72,-1.52,-0.77,-1.73,-2.7,0.64,-0.95,1.53
2025-06-02,,,,,,,,,,,,,,,-0.29,,,
2025-06-03,0.31,0.48,0.37,0.63,1.32,-0.04,0.1,1.64,0.98,0.04,0.75,1.36,1.28,2.2,0.76,1.98,0.61,1.9
2025-06-04,0.43,0.45,0.28,0.12,0.7,1.67,0.24,1.08,1.33,-0.12,-0.53,2.23,1.32,-0.78,0.85,0.06,1.03,0.49
2025-06-05,0.23,1.04,-0.57,-0.68,-0.54,2.41,-0.5,1.01,0.95,0.43,0.18,0.8,-0.42,1.4,2.3,-0.74,-0.39,-1.98
2025-06-06,-0.09,-0.48,-0.02,0.01,-0.94,0.0,-0.86,-0.76,-0.81,-0.28,-0.03,-0.31,1.13,0.03,-0.99,0.29,-0.04,0.11
2025-06-09,0.29,0.6,0.19,0.05,1.38,0.79,0.24,1.43,1.51,1.43,2.27,2.35,0.34,0.32,3.02,0.27,0.54,1.67
2025-06-10,-0.51,-1.47,-0.08,0.09,-0.3,-1.6,-0.35,0.08,-1.37,-1.76,-2.02,-0.11,0.03,-2.51,-0.65,0.49,-0.03,-0.27
